,TPR,group_value,group_variable,k,model_id,parameter,TNR,FOmR,FDR,FPR,FNR,NPV,Precision,PP,PN,PPR,PPrev,FP,FN,TN,TP,group_label_neg,group_label_pos,group_size,total_entities,Prev
81,1.0, HS-grad,education,9769,1,2.0_pct,0.0,0.0,0.8447417548226509,1.0,0.0,0.0,0.1552582451773491,3214,0,0.32899989763537724,1.0,2715,0,0,499,2715,499,3214,9769,0.1552582451773491
82,1.0, HS-grad,education,9769,1,5.0_pct,0.0,0.0,0.8447417548226509,1.0,0.0,0.0,0.1552582451773491,3214,0,0.32899989763537724,1.0,2715,0,0,499,2715,499,3214,9769,0.1552582451773491
83,1.0, HS-grad,education,9769,1,10.0_pct,0.0,0.0,0.8447417548226509,1.0,0.0,0.0,0.1552582451773491,3214,0,0.32899989763537724,1.0,2715,0,0,499,2715,499,3214,9769,0.1552582451773491
84,0.0, Masters,education,10,1,10_abs,1.0,0.5758835758835759,0.0,0.0,1.0,0.42411642411642414,0.0,0,481,0.0,0.0,0,277,204,0,204,277,481,9769,0.5758835758835759
85,0.0, Masters,education,50,1,50_abs,1.0,0.5758835758835759,0.0,0.0,1.0,0.42411642411642414,0.0,0,481,0.0,0.0,0,277,204,0,204,277,481,9769,0.5758835758835759
86,0.0, Masters,education,100,1,100_abs,0.9901960784313726,0.5782881002087683,1.0,0.00980392156862745,1.0,0.42171189979123175,0.0,2,479,0.02,0.004158004158004158,2,277,202,0,204,277,481,9769,0.5758835758835759
87,1.0, Masters,education,9769,1,1.0_pct,0.0,0.0,0.42411642411642414,1.0,0.0,0.0,0.5758835758835759,481,0,0.04923738356024158,1.0,204,0,0,277,204,277,481,9769,0.5758835758835759
88,1.0, Masters,education,9769,1,2.0_pct,0.0,0.0,0.42411642411642414,1.0,0.0,0.0,0.5758835758835759,481,0,0.04923738356024158,1.0,204,0,0,277,204,277,481,9769,0.5758835758835759
89,1.0, Masters,education,9769,1,5.0_pct,0.0,0.0,0.42411642411642414,1.0,0.0,0.0,0.5758835758835759,481,0,0.04923738356024158,1.0,204,0,0,277,204,277,481,9769,0.5758835758835759
90,1.0, Masters,education,9769,1,10.0_pct,0.0,0.0,0.42411642411642414,1.0,0.0,0.0,0.5758835758835759,481,0,0.04923738356024158,1.0,204,0,0,277,204,277,481,9769,0.5758835758835759
91,0.0, Preschool,education,10,1,10_abs,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,16,0.0,0.0,0,0,16,0,16,0,16,9769,0.0
92,0.0, Preschool,education,50,1,50_abs,0.9375,0.0,1.0,0.0625,0.0,1.0,0.0,1,15,0.02,0.0625,1,0,15,0,16,0,16,9769,0.0
93,0.0, Preschool,education,100,1,100_abs,0.9375,0.0,1.0,0.0625,0.0,1.0,0.0,1,15,0.01,0.0625,1,0,15,0,16,0,16,9769,0.0
94,0.0, Preschool,education,9769,1,1.0_pct,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16,0,0.0016378339645818406,1.0,16,0,0,0,16,0,16,9769,0.0
95,0.0, Preschool,education,9769,1,2.0_pct,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16,0,0.0016378339645818406,1.0,16,0,0,0,16,0,16,9769,0.0
96,0.0, Preschool,education,9769,1,5.0_pct,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16,0,0.0016378339645818406,1.0,16,0,0,0,16,0,16,9769,0.0
97,0.0, Preschool,education,9769,1,10.0_pct,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16,0,0.0016378339645818406,1.0,16,0,0,0,16,0,16,9769,0.0
98,0.0, Prof-school,education,10,1,10_abs,1.0,0.6966292134831461,0.0,0.0,1.0,0.30337078651685395,0.0,0,178,0.0,0.0,0,124,54,0,54,124,178,9769,0.6966292134831461
99,0.0, Prof-school,education,50,1,50_abs,1.0,0.6966292134831461,0.0,0.0,1.0,0.30337078651685395,0.0,0,178,0.0,0.0,0,124,54,0,54,124,178,9769,0.6966292134831461
100,0.0, Prof-school,education,100,1,100_abs,1.0,0.6966292134831461,0.0,0.0,1.0,0.30337078651685395,0.0,0,178,0.0,0.0,0,124,54,0,54,124,178,9769,0.6966292134831461
101,1.0, Prof-school,education,9769,1,1.0_pct,0.0,0.0,0.30337078651685395,1.0,0.0,0.0,0.6966292134831461,178,0,0.018220902855972977,1.0,54,0,0,124,54,124,178,9769,0.6966292134831461
102,1.0, Prof-school,education,9769,1,2.0_pct,0.0,0.0,0.30337078651685395,1.0,0.0,0.0,0.6966292134831461,178,0,0.018220902855972977,1.0,54,0,0,124,54,124,178,9769,0.6966292134831461
103,1.0, Prof-school,education,9769,1,5.0_pct,0.0,0.0,0.30337078651685395,1.0,0.0,0.0,0.6966292134831461,178,0,0.018220902855972977,1.0,54,0,0,124,54,124,178,9769,0.6966292134831461
104,1.0, Prof-school,education,9769,1,10.0_pct,0.0,0.0,0.30337078651685395,1.0,0.0,0.0,0.6966292134831461,178,0,0.018220902855972977,1.0,54,0,0,124,54,124,178,9769,0.6966292134831461
105,0.00234192037470726, Some-college,education,10,1,10_abs,0.998314606741573,0.19337267362687244,0.75,0.0016853932584269663,0.9976580796252927,0.8066273263731275,0.25,4,2203,0.4,0.0018124150430448573,3,426,1777,1,1780,427,2207,9769,0.19347530584503853
106,0.00234192037470726, Some-college,education,50,1,50_abs,0.9910112359550561,0.19452054794520549,0.9411764705882353,0.008988764044943821,0.9976580796252927,0.8054794520547945,0.058823529411764705,17,2190,0.34,0.007702763932940644,16,426,1764,1,1780,427,2207,9769,0.19347530584503853
107,0.00468384074941452, Some-college,education,100,1,100_abs,0.9825842696629213,0.19549218031278748,0.9393939393939394,0.01741573033707865,0.9953161592505855,0.8045078196872125,0.06060606060606061,33,2174,0.33,0.014952424105120073,31,425,1749,2,1780,427,2207,9769,0.19347530584503853
108,1.0, Some-college,education,9769,1,1.0_pct,0.0,0.0,0.8065246941549615,1.0,0.0,0.0,0.19347530584503853,2207,0,0.22591872248950762,1.0,1780,0,0,427,1780,427,2207,9769,0.19347530584503853
109,1.0, Some-college,education,9769,1,2.0_pct,0.0,0.0,0.8065246941549615,1.0,0.0,0.0,0.19347530584503853,2207,0,0.22591872248950762,1.0,1780,0,0,427,1780,427,2207,9769,0.19347530584503853
110,1.0, Some-college,education,9769,1,5.0_pct,0.0,0.0,0.8065246941549615,1.0,0.0,0.0,0.19347530584503853,2207,0,0.22591872248950762,1.0,1780,0,0,427,1780,427,2207,9769,0.19347530584503853
111,1.0, Some-college,education,9769,1,10.0_pct,0.0,0.0,0.8065246941549615,1.0,0.0,0.0,0.19347530584503853,2207,0,0.22591872248950762,1.0,1780,0,0,427,1780,427,2207,9769,0.19347530584503853
112,0.0, Female,gender,10,1,10_abs,0.9978880675818373,0.11212026307547761,1.0,0.0021119324181626186,1.0,0.8878797369245224,0.0,6,3193,0.6,0.001875586120662707,6,358,2835,0,2841,358,3199,9769,0.11190997186620819
113,0.0, Female,gender,50,1,50_abs,0.9929602252727913,0.11261402956904687,1.0,0.007039774727208729,1.0,0.8873859704309531,0.0,20,3179,0.4,0.006251953735542357,20,358,2821,0,2841,358,3199,9769,0.11190997186620819
114,0.0, Female,gender,100,1,100_abs,0.9838085181274199,0.11354265778623533,1.0,0.016191481872580078,1.0,0.8864573422137647,0.0,46,3153,0.46,0.01437949359174742,46,358,2795,0,2841,358,3199,9769,0.11190997186620819
115,1.0, Female,gender,9769,1,1.0_pct,0.0,0.0,0.8880900281337918,1.0,0.0,0.0,0.11190997186620819,3199,0,0.32746442829358174,1.0,2841,0,0,358,2841,358,3199,9769,0.11190997186620819
116,1.0, Female,gender,9769,1,2.0_pct,0.0,0.0,0.8880900281337918,1.0,0.0,0.0,0.11190997186620819,3199,0,0.32746442829358174,1.0,2841,0,0,358,2841,358,3199,9769,0.11190997186620819
117,1.0, Female,gender,9769,1,5.0_pct,0.0,0.0,0.8880900281337918,1.0,0.0,0.0,0.11190997186620819,3199,0,0.32746442829358174,1.0,2841,0,0,358,2841,358,3199,9769,0.11190997186620819
